1 2 3 4 5 6 7 8
version_number compiler build MESA_SDK_version math_backend date burn_min1 burn_min2
"12778" "gfortran" "9.2.0" "x86_64-linux-20.3.2" "CRMATH" "20231130" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 1.9999999999999998E-001 6.4485933578307342E-001 7.8478466423827298E-001 3.5304519200529447E+000 5.4782371992737344E+000 -1.9209209688037272E+000 1.1668505181154927E+001 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389783773572340E+000 8.5000496627254141E-001 2.0370768742538921E+001 0.0000000000000000E+000 3.3666314025767188E+005 3.4913672218464788E+004 4.5307558500946790E+008 -2.0153338914975496E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153338914975496E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551203461005063E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.3857743578925201E-012
2 2.2000000000000003E-005 1.9999999999999993E-001 6.4420037920148210E-001 7.8478195704133913E-001 3.5302885345060142E+000 5.4782372069199718E+000 -1.9209209569225558E+000 1.1668505200920174E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389783762428960E+000 8.5000496627254141E-001 2.0370768743220875E+001 0.0000000000000000E+000 3.3665999236195360E+005 3.4966905036028285E+004 4.5376356002794427E+008 -2.0153338975872938E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153338975872938E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551203521902480E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.3786588047809470E-012
3 3.6400000000000004E-005 1.9999999999999984E-001 6.4344606860842124E-001 7.8477879686259755E-001 3.5301015369471194E+000 5.4782372156624399E+000 -1.9209209433379997E+000 1.1668505223519139E+001 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389783749688005E+000 8.5000496627254163E-001 2.0370768744000678E+001 0.0000000000000000E+000 3.3665631778172351E+005 3.5027945461589094E+004 4.5455237059845072E+008 -2.0153339042838983E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339042838983E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551203588868489E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.3704704574680710E-012
4 5.3680000000000001E-005 1.9999999999999979E-001 6.4258896977801117E-001 7.8477512475489319E-001 3.5298890982933693E+000 5.4782372255905853E+000 -1.9209209279110642E+000 1.1668505249183038E+001 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389783735219037E+000 8.5000496627254141E-001 2.0370768744886359E+001 0.0000000000000000E+000 3.3665204799312336E+005 3.5097439636937903E+004 4.5545033503734696E+008 -2.0153339115309553E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339115309553E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551203661339024E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.3611117640629737E-012
5 7.4416000000000000E-005 1.9999999999999971E-001 6.4162304913583856E-001 7.8477087986251925E-001 3.5296497405790133E+000 5.4782372367720251E+000 -1.9209209105366940E+000 1.1668505278086656E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389783718923672E+000 8.5000496627254163E-001 2.0370768745883712E+001 0.0000000000000000E+000 3.3664711225955473E+005 3.5175931048554543E+004 4.5646443603895593E+008 -2.0153339192063761E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339192063761E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551203738093186E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.3504965726173680E-012
6 9.9299199999999986E-005 1.9999999999999957E-001 6.4054431728162320E-001 7.8476600132326224E-001 3.5293824968850873E+000 5.4782372492608706E+000 -1.9209208911308007E+000 1.1668505310369870E+001 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389783700722907E+000 8.5000496627254163E-001 2.0370768746997658E+001 0.0000000000000000E+000 3.3664143984469096E+005 3.5263808280746052E+004 4.5759964449151170E+008 -2.0153339271251188E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339271251188E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551203817280555E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.3385574990430179E-012
7 1.2915903999999998E-004 1.9999999999999940E-001 6.3935147979142759E-001 7.8476043081150648E-001 3.5290870727684172E+000 5.4782372630866059E+000 -1.9209208696475746E+000 1.1668505346108885E+001 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389783680573931E+000 8.5000496627254163E-001 2.0370768748230795E+001 0.0000000000000000E+000 3.3663496297080774E+005 3.5361250898462160E+004 4.5885821978662962E+008 -2.0153339350188809E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339350188809E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551203896218116E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.3252538407093541E-012
8 1.6499084799999998E-004 1.9999999999999923E-001 6.3804653132244815E-001 7.8475411555752805E-001 3.5287639932781616E+000 5.4782372782614068E+000 -1.9209208460680940E+000 1.1668505385335187E+001 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389783658459017E+000 8.5000496627254141E-001 2.0370768749584432E+001 0.0000000000000000E+000 3.3662762033052911E+005 3.5468178334089978E+004 4.6023904975606954E+008 -2.0153339425324784E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339425324784E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551203971354013E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.3105793973269067E-012
9 2.0798901759999997E-004 1.9999999999999901E-001 6.3663521632329101E-001 7.8474701176589512E-001 3.5284147164241881E+000 5.4782372947742894E+000 -1.9209208204094377E+000 1.1668505428020367E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389783634394187E+000 8.5000496627254141E-001 2.0370768751057483E+001 0.0000000000000000E+000 3.3661936106209672E+005 3.5584207842057316E+004 4.6173710889646494E+008 -2.0153339492065815E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339492065815E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551204038094955E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.2945693662701795E-012
10 2.5958682111999992E-004 1.9999999999999868E-001 6.3512727653037149E-001 7.8473908832891248E-001 3.5280416931944498E+000 5.4782373126165114E+000 -1.9209207926851850E+000 1.1668505474141837E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389783608392337E+000 8.5000496627254141E-001 2.0370768752649003E+001 0.0000000000000000E+000 3.3661014906686061E+005 3.5708628118360073E+004 4.6334312042332047E+008 -2.0153339545029478E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339545029478E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551204091058512E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.2773053518176482E-012
11 3.2150418534399988E-004 1.9999999999999837E-001 6.3353641852658305E-001 7.8473033045305174E-001 3.5276483576314330E+000 5.4782373317844133E+000 -1.9209207629010290E+000 1.1668505523690122E+001 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389783580458699E+000 8.5000496627254163E-001 2.0370768754358853E+001 0.0000000000000000E+000 3.3659996722446143E+005 3.5840394498235895E+004 4.6504349850016570E+008 -2.0153339577923049E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339577923049E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551204123951958E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.2589175328336421E-012
12 3.9580502241279986E-004 1.9999999999999796E-001 6.3189444959245644E-001 7.8472065378943179E-001 3.5272427037297112E+000 5.4782373523103702E+000 -1.9209207310066654E+000 1.1668505576748911E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389783550546342E+000 8.5000496627254163E-001 2.0370768756189996E+001 0.0000000000000000E+000 3.3658871756427799E+005 3.5976956985669938E+004 4.6680505040766245E+008 -2.0153339583581033E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339583581033E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551204129609790E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.2395832443842947E-012
13 4.8496602689535978E-004 1.9999999999999749E-001 6.3019326054251368E-001 7.8471018270711757E-001 3.5268226420083826E+000 5.4782373742729389E+000 -1.9209206968800270E+000 1.1668505633521281E+001 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -4.9389783518540620E+000 8.5000496627254163E-001 2.0370768758149165E+001 0.0000000000000000E+000 3.3657654477168148E+005 3.6119030708955375E+004 4.6863717365574569E+008 -2.0153339554517974E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0153339554517974E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1551204100546553E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -5.2196946662242266E-012
