1 2 3 4 5 6 7 8
version_number compiler build MESA_SDK_version math_backend date burn_min1 burn_min2
"12778" "gfortran" "9.2.0" "x86_64-linux-20.3.2" "CRMATH" "20231130" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 9.9999999999999623E-001 2.5106393640361904E+000 1.4683078883659213E+000 3.6551353150524002E+000 5.4770599439800023E+000 -3.2889359138980274E+000 1.0311643529346874E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.0436536965156868E+000 8.5000496627254163E-001 2.5489672159903410E+001 0.0000000000000000E+000 1.5958622588401034E+006 2.4639522465343612E+003 3.0857492773990475E+007 -2.0882648821757673E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0882648821757673E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2280516834483933E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.8325571432860455E-010
2 2.2000000000000003E-005 9.9999999999999156E-001 2.5074473001183564E+000 1.4682800414496029E+000 3.6543512225311012E+000 5.4770599169409335E+000 -3.2889358534428430E+000 1.0311643562074616E+001 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.0436534689839476E+000 8.5000496627254163E-001 2.5489671788837686E+001 0.0000000000000000E+000 1.5957087764419105E+006 2.4822881692917949E+003 3.1085130853645366E+007 -2.0882649031531681E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0882649031531681E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2280517044257941E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.8107217935983190E-010
3 3.6400000000000004E-005 9.9999999999998612E-001 2.5038430913436240E+000 1.4682474814904865E+000 3.6534664503169765E+000 5.4770600617039831E+000 -3.2889355216070610E+000 1.0311644039340973E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.0436532130366505E+000 8.5000496627254163E-001 2.5489671372752664E+001 0.0000000000000000E+000 1.5955293361311983E+006 2.5031620512917366E+003 3.1344179709772795E+007 -2.0882646005811353E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0882646005811353E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2280514018537545E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.7825731276529504E-010
4 5.3680000000000001E-005 9.9999999999997968E-001 2.4998220047310058E+000 1.4682094423103802E+000 3.6524801982538744E+000 5.4770601665119107E+000 -3.2889352409071151E+000 1.0311644425145897E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.0436529367617418E+000 8.5000496627254163E-001 2.5489670923233732E+001 0.0000000000000000E+000 1.5953197249911625E+006 2.5266674871612390E+003 3.1635739829354540E+007 -2.0882643715708436E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0882643715708436E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2280511728434576E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.7510302297082934E-010
5 7.4416000000000000E-005 9.9999999999997191E-001 2.4952147380661063E+000 1.4681649676828532E+000 3.6513506189014127E+000 5.4770601341217722E+000 -3.2889351603030059E+000 1.0311644472497580E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.0436526457949391E+000 8.5000496627254163E-001 2.5489670448732259E+001 0.0000000000000000E+000 1.5950746868740066E+006 2.5538761551145258E+003 3.1973137984375462E+007 -2.0882643989996371E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0882643989996371E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2280512002722510E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.7161346207858579E-010
6 9.9299199999999986E-005 9.9999999999996281E-001 2.4904515050722131E+000 1.4681142491974501E+000 3.6501851698956411E+000 5.4770601008532056E+000 -3.2889350742761141E+000 1.0311644524355328E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.0436523396580650E+000 8.5000496627254163E-001 2.5489669949497994E+001 0.0000000000000000E+000 1.5947952934318427E+006 2.5823421541070211E+003 3.2325741444259901E+007 -2.0882644285031816E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0882644285031816E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2280512297757952E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.6765434006852852E-010
7 1.2915903999999998E-004 9.9999999999995193E-001 2.4847999911728773E+000 1.4680544093036416E+000 3.6488022113677117E+000 5.4770600678386687E+000 -3.2889349832910857E+000 1.0311644581406272E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.0436520232315267E+000 8.5000496627254163E-001 2.5489669433494303E+001 0.0000000000000000E+000 1.5944657157246929E+006 2.6165265054516144E+003 3.2749148221189316E+007 -2.0882644594557345E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0882644594557345E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2280512607283480E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.6360156648182888E-010
8 1.6499084799999998E-004 9.9999999999993905E-001 2.4781997772140381E+000 1.4679849094926622E+000 3.6471869077834911E+000 5.4770600366595126E+000 -3.2889348875435740E+000 1.0311644645060987E+001 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.0436517023111538E+000 8.5000496627254163E-001 2.5489668910179741E+001 0.0000000000000000E+000 1.5940830199803405E+006 2.6570201763228752E+003 3.3250656374780163E+007 -2.0882644915220446E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0882644915220446E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2280512927946578E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.5885119087043196E-010
9 2.0798901759999997E-004 9.9999999999992362E-001 2.4706909338992924E+000 1.4679048921239133E+000 3.6453497056391795E+000 5.4770600088997909E+000 -3.2889347874880790E+000 1.0311644716475138E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -8.0436513832840593E+000 8.5000496627254141E-001 2.5489668389977012E+001 0.0000000000000000E+000 1.5936425238090113E+006 2.7038569613689046E+003 3.3830550600973047E+007 -2.0882645242240592E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0882645242240592E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2280513254966721E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -3.5338220642523749E-010
