1 2 3 4 5 6 7 8
version_number compiler build MESA_SDK_version math_backend date burn_min1 burn_min2
"12778" "gfortran" "9.2.0" "x86_64-linux-20.3.2" "CRMATH" "20231130" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 4.9999999999999556E+000 3.6160835108724543E+000 2.1229484515496897E+000 3.6041760701695815E+000 5.4777245745165200E+000 -4.6412514279471635E+000 8.9716959110439483E+000 7.0000000000000007E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486454E-003 1.2067031330276049E-003 1.1203876416666533E-002 2.5129237964844941E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1139572947834642E+001 8.5000496627254174E-001 3.0651813072140257E+001 5.5747101958809403E-005 6.8465415268553756E+006 1.0702557880827492E+003 1.2102817748314310E+007 -2.1511121688119765E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1511121688119765E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2908989849592800E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -4.3973718836889577E-009
2 2.2000000000000003E-005 4.9999999999999023E+000 3.6147952206250835E+000 2.1229392622195715E+000 3.6038585922727986E+000 5.4777243019321089E+000 -4.6412502006358718E+000 8.9716968195705125E+000 7.0000000000000007E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486454E-003 1.2067031330276049E-003 1.1203876416666533E-002 2.5129237964844941E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1139569145114637E+001 8.5000496627254174E-001 3.0651806195551821E+001 5.5747128563208575E-005 6.8463242291422402E+006 1.0734580194399527E+003 1.2138772823862398E+007 -2.1511116589782308E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1511116589782308E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2908984751255336E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -4.3865385400410647E-009
3 3.6400000000000004E-005 4.9999999999998384E+000 3.6132303681158859E+000 2.1229284607469228E+000 3.6034727798818231E+000 5.4777236876942057E+000 -4.6412493465828524E+000 8.9716969983185866E+000 7.0000000000000007E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486454E-003 1.2067031330276049E-003 1.1203876416666533E-002 2.5129237964844941E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1139565017654066E+001 8.5000496627254174E-001 3.0651798627686031E+001 5.5747130992720048E-005 6.8460688183292039E+006 1.0773596816746922E+003 1.2182590217809774E+007 -2.1511116902634697E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1511116902634697E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2908985064107725E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -4.3734530620734258E-009
4 5.3680000000000001E-005 4.9999999999997637E+000 3.6113831794493918E+000 2.1229157418432698E+000 3.6030173421670257E+000 5.4777230200634595E+000 -4.6412484014779327E+000 8.9716972090392701E+000 7.0000000000000007E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486454E-003 1.2067031330276049E-003 1.1203876416666533E-002 2.5129237964844941E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1139560492342751E+001 8.5000496627254174E-001 3.0651790332269460E+001 5.5747133919990135E-005 6.8457680803019954E+006 1.0819834711834371E+003 1.2234516891305204E+007 -2.1511117242643031E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1511117242643031E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2908985404116059E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -4.3576145849724291E-009
5 7.4416000000000000E-005 4.9999999999996732E+000 3.6092655304165993E+000 2.1229009641756007E+000 3.6024953187426627E+000 5.4777223054035780E+000 -4.6412473686437599E+000 8.9716974552819977E+000 7.0000000000000007E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486454E-003 1.2067031330276049E-003 1.1203876416666533E-002 2.5129237964844941E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1139555599102538E+001 8.5000496627254174E-001 3.0651781364795646E+001 5.5747137401860438E-005 6.8454186794640590E+006 1.0873091758154062E+003 1.2294318897352278E+007 -2.1511117612713235E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1511117612713235E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2908985774186259E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -4.3389925882988719E-009
6 9.9299199999999986E-005 4.9999999999995657E+000 3.6068822577539117E+000 2.1228839505084394E+000 3.6019080074105712E+000 5.4777215536300812E+000 -4.6412462548618150E+000 8.9716977410089562E+000 7.0000000000000007E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486454E-003 1.2067031330276049E-003 1.1203876416666533E-002 2.5129237964844941E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1139550388284137E+001 8.5000496627254174E-001 3.0651771818381771E+001 5.5747141513001838E-005 6.8450164330922533E+006 1.0933352224656410E+003 1.2361971744014189E+007 -2.1511118011175210E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1511118011175210E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2908986172648234E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -4.3177399460516965E-009
7 1.2915903999999998E-004 4.9999999999994387E+000 3.6042278787334894E+000 2.1228644822633229E+000 3.6012541467780239E+000 5.4777207782869706E+000 -4.6412450704206476E+000 8.9716980706298273E+000 7.0000000000000007E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486454E-003 1.2067031330276049E-003 1.1203876416666533E-002 2.5129237964844941E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1139544931046895E+001 8.5000496627254174E-001 3.0651761824469698E+001 5.5747146351832136E-005 6.8445561832510913E+006 1.1000873903769336E+003 1.2437758660404297E+007 -2.1511118429492534E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1511118429492534E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2908986590965558E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -4.2939422106417704E-009
8 1.6499084799999998E-004 4.9999999999992850E+000 3.6012920294542745E+000 2.1228423195471735E+000 3.6005312658162945E+000 5.4777199961677896E+000 -4.6412438289169904E+000 8.9716984487914306E+000 7.0000000000000007E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486454E-003 1.2067031330276049E-003 1.1203876416666533E-002 2.5129237964844941E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1139539317574714E+001 8.5000496627254174E-001 3.0651751549519222E+001 5.5747152039643848E-005 6.8440322709413059E+006 1.1076057423189939E+003 1.2522123274028519E+007 -2.1511118851235317E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1511118851235317E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2908987012708337E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -4.2675866510186162E-009
9 2.0798901759999997E-004 4.9999999999991029E+000 3.5980656369140442E+000 2.1228172267543073E+000 3.5997372140776700E+000 5.4777192265104864E+000 -4.6412425466472378E+000 8.9716988801125730E+000 7.0000000000000007E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486454E-003 1.2067031330276049E-003 1.1203876416666533E-002 2.5129237964844941E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1139533652853130E+001 8.5000496627254174E-001 3.0651741187204141E+001 5.5747158718753283E-005 6.8434391419141432E+006 1.1159293086276850E+003 1.2615497080463309E+007 -2.1511119251105121E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1511119251105121E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.2908987412578142E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -4.2386185650293233E-009
